question,answer,image_id
what is on the right side of the ladder,door_way,image18
what is on the right side of the door,drawer,image1004
what is on the wall,picture,image1372
what are found behind the table,toy_chair,image1315
what is the tallest object in front of the blinds,suitcase,image950
what is the object close to the cabinet,"sink, faucet",image509
how many toy boxes are on the floor,2,image447
what is the object on the floor close to the shelves,stool,image105
what is the red object hanged on the white wall nest to the umbrella,bag,image150
what is on the right side of the wash basin,bottle_of_liquid,image648
how many beds are there,2,image1135
what are the objects are stuck on the refridgerator,"flag, glove",image865
what is on the right side of the tap,ornamental_plant,image765
what are found on the right side cabinet,"lamp, tissue_box",image1147
what is on the right side of the tap,bottle_of_hand_wash_liquid,image665
what are the colours of the clothes seen,"white, blue, black, gray",image95
what is the object in the right side of the faucet and in front of the mirror,bottle_of_soap,image702
what is the colorful object containing white soaps on the left side of the sink,decorative_dish,image682
what is the object left of the chair on the floor,excercise_ball,image55
what is the object on the chair,clothes,image1037
what is on the left side of the window,blinds,image523
what is stuck on the wall,decorative_item,image1362
what is the largest object on the floor,sofa,image1325
what is at the top right side,fireplace,image1225
how many chairs are,2,image224
what is the largest object,sofa,image1264
what is behind the clothes,dog,image1243
what are the objects in the cabinet found on the wall,"toy, photo, toy_house, toy_horse",image1247
what is the bookshelf covered with,glass_pane,image355
what is on the table,"monitor, speaker, paper",image782
what is the object close to the counter,sink,image127
what is the object on the floor left of the table,sofa,image1351
what is found below the window,bed,image1098
how many square leather stool are there,1,image434
what object is found behind the chair,water_filter,image833
what is kept on top of the wooden table,clothes,image1033
what is on the bed,"pillow, toy",image937
what is to the left of the toy shelf,toy_car,image442
what is on the table,ornamental_plant,image460
what is in between the bed,chair,image1054
what is the object on the bed,pillow,image1092
what is in front of the cabinet,sofa,image1253
what is on the left side of the bed,lamp,image1181
what is the object on the bed,pillow,image1163
what is found below the photo,cabinet,image1391
what is to the left side of the bed,cabinet,image1166
what is on the television,dvd_player,image960
what is in front of the sofa,coffee_table,image1289
what is below the kitchen hood between the cabinets,oven,image882
what is hanged on the wall,photo,image1287
what is big object,sofa,image166
what is on the left side of the pillar,stairs,image1363
what is behind the students,drawer,image306
what is on the right side of the towel,door,image690
what is the colour of the chair,purple,image961
what is the object on the table,flower_pot,image1424
what is the colour of the comforter,"blue, green, yellow",image1042
what is on the table,computer,image291
what is to the right of the window,cabinet,image1341
what is on the sofa,pillow,image249
what is hanged in front of the window,blinds,image1420
what is the colour of floor,brown,image260
what are the things on the shelf,books,image187
what is near the sofa,night_stand,image487
what is the object on the chair,jacket,image1053
what is hanged on both sides of the door,curtain,image1070
what is in front of the washing machine,cloth_drying_stand,image493
what is the colour of sofa,brown,image599
what is on the chair,"toy, bag",image399
what is behind the drying stand,window,image407
what are the objects on the bed,"pillow, blanket",image927
what is between the two black chairs on the floor,ottoman,image434
what is in the shelves,book,image519
how many plants are there,1,image14
what is in front of the stool,table,image1299
what is on the right side of the wall,door,image484
what is in front of the ornamental plant,towel,image825
how many frames are on the wall between the blinds and the bookshelf,4,image396
how many lights are there,2,image50
what is the white object below the reception desk on the floor,radiator,image123
what are the objects on the table,"books, ball, telephone, paper",image476
how many chairs are surrounding the table,7,image1382
what is around the table,chair,image415
what is the colour of the wall,"pink, gray",image1100
what are stacked on the red paper rack,paper,image9
what is the content of the picture,jersey,image178
what is on the right side of the night stand,door,image978
what is on the table,"towel, towel, clothes",image1443
what is on the right side,bed,image1106
what is to the left of the table,sofa,image383
what is the colour of the table,brown,image54
what is on the table nect to the bed,"iron_box, lamp",image1086
what object is found in left side,television,image1122
what is to the right of the cabinet,bed,image1095
what are the objects on top of the bookshelf,wall_decoration,image84
what is found in the bottom left corner,stool,image869
what is the colour of the vase in between the chair and sofa,red,image1246
what is behind the chair,door,image1310
how many chairs are there,2,image760
how many armchairs are there,2,image1265
what is the largest object,sofa,image1083
what is the object on the stove,vessel,image908
what is the object on the table,paper,image618
what is on the stove,utensil,image785
what is on the bed,"pillow, bag",image956
how many pillars are visible,4,image107
what is in front of the switch board,"book, picture",image1003
what is on the table,"flower, vase",image1439
what is on the hanger,clothes,image678
what objects are inside the room,"photo, light, decoration_item",image1268
what is on the left side of the image95 behind the clothes,candle,image95
what is the colour of the chair,red,image33
what is the colour of the wall,pink,image1077
what is in front of the table,chair,image1445
what is in the corner of the shelf,plant,image342
what is on the left side of the lamp,door,image973
what is the largest object on the cabinet,flask,image198
what are the objects on the counter,"box, tissue_box, cup, bottle, plant",image123
how many photos are there,2,image1305
what is the object behind the table,window,image1249
how many chairs are there,2,image432
what is the colour of the carpet,gray,image15
what is on the sofa,pillow,image1236
what is the object left of the cups on the counter,plant,image124
how many drawers are there,5,image564
what is in front of the bookshelf,bed,image986
how many chairs are there,2,image1215
what are the objects on the shelf frame,"hair_brush, toothbrush, makeup_brush, face_wash_cream, bottle_of_liquid",image45
what is on the chair,clothes,image1037
what is in front of the mirror,sink,image651
what is in front of the window,lamp,image1353
what is the black object on the counter close to the printer,tape_dispenser,image108
what is the colour of the text on the whiteboard,green,image5
what is on the floor,floor_mat,image1236
what are the things on the table,books,image1393
how many beds are there,2,image931
what is the object on the floor right of the table,bag,image1068
what is the red colour object found,tea_kettle,image874
what is placed on the table,plate,image239
what is stuck on the wall,photo,image1426
what is in between the chair and sofa,stool,image1298
what is on the right side of the curtain,bathtub,image501
how many gray computer chairs are in front of blue chairs,1,image290
what is on the right side of the cup,bag,image851
what is the red object that is standing on the floor in front of the projector screen,ladder,image7
what is to the right,door,image1398
what is on the right side of the newspaper,cup,image822
what is the shower door made of,glass,image508
what is found near the burners,oil_container,image867
what is the object in front of the whiteboard,chair,image33
what are found on the top of the left side cabinet,"toy, photo",image1162
how many pictures are there,8,image1372
what is in between the papers,picture,image638
what object is hanged near the pink colour drawer handle,towel,image858
what is on the table,"monitor, printer, flower, vase",image1386
what is the largest object,refridgerator,image125
what is the round object at the end of the room in front of the blue boxes,globe,image308
what is at the left side,cabinet,image1062
what object is found behind the tissue roll,chair,image856
what is above the tap,mirror,image684
what is found to the right of the wall divider,cabinet,image1180
what is on the flush tank,"bottle_of_liquid, cream",image650
how many towels are there,3,image694
what is in between the lamp and the tissue box,alarm_clock,image1118
what is in front of the photo,vase,image1405
how many lights are hanging from the ceiling on the left most side,3,image114
what is on the billiard table,pool_ball,image433
what is beneath the pictures,table,image1305
what is on the left most side on the table,tissue_box,image380
what is the largest object on the table,ornamental_plant,image890
what is in between the blinds,light,image786
what is at the left side of the sofa,television,image1225
what is behind the cabinet,door_way,image1342
what is in front of the table,table,image1243
what is the colour of floor,brown,image225
what is the object plug with the help of the wire,telephone,image895
what is the object that is on the left of the counter and right of the stack of chairs,whiteboard,image5
what is the red board hanging from the ceiling,display_board,image18
what is on the second last shelf of the wooden rack,shoe,image763
what is the colour of the chair near the game table,blue,image1244
what is to the right of the air vent,door_way,image1375
what is on the sink,soap,image701
what is behind the chair,door,image1019
what is on the shelf,decorative_item,image344
what is the colour of the chair and table,black,image1368
what is the object on the stool,television,image1138
what is at the bottom left corner,sofa,image1215
what color are the dining chair seats,brown,image1418
what objects are on the cabinet in the corner,"lamp, photo",image1266
what is on the chair,paper,image531
what is behind the decorative item on the flush tank,tissue_box,image677
what is on the right side of the blinds,bookshelf,image1141
what is the object close to the wall,wall_decoration,image1159
how many framed pictures are there,1,image23
what is on the chair,pillow,image379
what object is found in the plastic bag,hamburger_bun,image860
what is the colour of the screen,red,image39
what is seen in the mirror reflection,curtain,image651
what is the colour of the bed sheet,blue,image1172
what is present on the right side of the table,chair,image1032
what is in front of the switch board,paper,image850
what is the colour that is dominating,red,image39
what is around the table,chair,image798
what is in front of the blinds,table,image1194
what is the object on the table,jacket,image120
how many pictures are there,2,image1352
what are the things found on the sink,"bar_of_soap, bottle_of_hand_wash_liquid, cream, toothpaste",image660
what is on the left side of wall,fire_extinguisher,image15
what is the colour of the object on the table left side of the cable,pink,image1044
what is on the right side of the picture on the wall,mirror,image1233
what colors are the backpacks in the store,"pink, purple, blue, black",image91
what is to the left of the printer,fax_machine,image409
what is in front of the table,books,image93
what is to right of computer,lamp,image585
what is the red object on the stove burner,tea_kettle,image129
what is behind the teacher,projector_screen,image314
what are the show pieces in the shelves,"glass, container",image1326
what is at the bottom of the photo,table,image1355
what is on the left side of the bed,lamp,image540
what color is the flower shaped pillow on the blue toy sofa,"purple, yellow",image325
what are in front of the photos,table,image1401
what is the object close to the door knob,toy,image1065
what in on the table,"table_runner, bowl",image1376
what is on the right side of the exercise equipment,table,image1132
what are the blue and white objects above the tables on the left side of the picture,umbrella,image84
how many doors are for the shelf,4,image131
what are stuck on the wall,wall_decoration,image917
how many chairs in between draws,1,image749
what is right of table,shelves,image533
what is the object on the floor in front of the wall,refridgerator,image571
what is in front of the lamp on the table,paper,image66
what are the things on the cabinet,"lamp, toy",image1180
how many chair are,4,image277
what is on the coffee table,plastic_cup_of_coffee,image118
what is at the bottom left,sofa,image1213
what are found inside the tent,toy,image1156
what is right to the whiteboard,monitor,image31
what is beneath the table,basket,image519
what is object in front of the cabinet,chair,image1301
what is to the right of the bed,table,image1091
what is above the sink,bottle_of_soap,image132
what is in front of the wall,chair,image1031
what is in front of the sofa,table,image1238
how many kids are standing behind the door,1,image321
what is the object on the floor in front of the wall,bed,image1032
what is on the table,"cup, water_dispenser",image850
what is the colour of the drawer,pink,image819
what is around the table,chair,image748
what color is the rocking chair in front of the bookshelf,white,image400
what on the left side of the door,lamp,image1335
what is on the left most side on the table,monitor,image634
how many door knobs are there,2,image681
what is the colour of the towel,brown,image659
what objects found to the top right of the oven,vase,image829
what is the largest object,bed,image987
what is on the left side of the picture,mirror,image653
what color are the walls,blue,image1381
what is on the table,decorative_item,image1111
what is above the sink,window,image575
what is the colour of the garbage bin,white,image928
what is the largest object,shelves,image236
what is the colour of the sofa,red,image153
what is the colour of the clothes on the sofa,red,image1243
what is on the left side on the table,microwave,image827
how many pillows are there,4,image1190
what is stuck close to every shelf frame,sticker,image104
how many ornamental plants are there,3,image789
what is the object on the stool,lamp,image992
what is stuck on the wall which is to the right side of the refridgerator,photo,image815
what is on the stove,kitchen_utensil,image572
what colors are the garbage bins close to the wall,"white, blue",image273
what is in front of the photo,sofa,image1271
what is to the right of the mirror,door_way_arch,image1340
what is found to the right side of the lamp,bookshelf,image1101
what is right of sofa,lamp,image546
how many windows are there,2,image969
what is on the left side of the monitor,speaker,image638
what is on the right side of the picture frame,glass_pot,image1422
what is placed on the table,microwave,image591
what is the object on the counter in the corner,coffee_machine,image905
what is on the bed,"comforter, doll, sheets",image1123
what is on the left side of the refrigerator,door,image908
what are the objects found to the right side of the roll of paper towel,coffee_machine,image846
what is on the chair,pillow,image1322
what are the colours of markers used on the white board,"red, green, black",image120
how many tables are there,2,image1419
who is behind the table,person,image228
what is near the mirror,lamp,image1086
how many frames are on the wall,3,image462
what is to the right of the sofa,cabinet,image1205
what is the reading materials placed close on the bookshelf,books,image16
what is left of bath tub,bottle,image513
what is on the left side of the wardrobe door below the cushions,window_seat,image1179
what is the object behind the room divider,bathtub,image718
what is on the racks,books,image104
how many open doors are there,1,image212
what are the objects found on the table,"books, bowl",image1204
what is the large black objest in the left side,chair,image57
what is beneath the picture,chessboard,image1297
what color are the walls,purple,image93
what is in the cupboard,clothes,image1103
how many pictures are there,2,image1188
what is the object plug in the switch in the switch box,chair,image919
what is the object close to the counter below the window,sink,image907
what is there behind the television,remote_control,image1005
what is behind the sofa,window,image1183
what is in the center of the table,"garbage_bin, box",image112
what is behind the chair,lamp,image265
what is the object on the floor in the middle,floor_mat,image589
what is beneath the cupboard,monitor,image816
what is on the floor,clothes,image1177
what is to the right of the table,cabinet,image1395
what is the colour of the monitors,black,image112
what is on the right most side on the table,tissue_box,image679
what is on the either side of the bed,night_stand,image996
how many photos are on the wall,3,image794
what is the largest object on the blanket,laundry_basket,image1007
what is colour of the shelves,brown,image38
what color is the small bin on the left side of the doorway on the floor,green,image1012
how many dark blue armchairs are in this picture,8,image6
how many juicers are there,1,image756
what is in front of the cup,"knife, knife_rack",image576
what is beneath the table,stool,image756
what is stuck on the wall to the right top of the bed,paper,image1062
what is the colour of the wall,pink,image1012
what is right of stand,door,image562
what is on the left side of the sofa,curtain,image1267
what is placed on the table to the right of the wall,computer,image20
what is behind the chair,computer,image287
how many pillows are there on corner of the camel couch,1,image50
what is on the right side,cabinet,image1319
what color is the file container on the filing cabinet,white,image552
how many furnitures are there,4,image1420
what is at the right side of the bed,cabinet,image1075
what is on the left side of the lamp,door,image1443
how many sinks are there,2,image671
what is the big white object in the left side on the black electronic kettle,refridgerator,image875
what is right of sofa,window,image590
what is above the coffee table near the eggplant,incense_candle,image120
how many black swivel chairs are there in front of the white wall,1,image23
how many drawers are there,4,image1251
what are the objects found on the cabinet,"bottle, toy, papers, wire",image1068
what color is the garbage bin,white,image952
how many racks,9,image87
what is on the desk,"desk_mat, paper, book, napkin_dispenser",image374
how many knobs are there,6,image941
what is the red colour object,"lamp, comforter, curtain",image992
what object is on the water cooler,bottle,image31
what are the objects on the bed,"pillow, blanket",image914
what is on the right side of the table,paper,image1373
what is the colour of the board,red,image18
what is on the either sides of the window,curtain,image600
what is at the bottom rack of the table,toy,image1197
how many frames are reflected in the mirror,1,image1384
what is on the drawer table,"book, clock",image531
what is on the table,paper,image586
what is the handle colour of the cupboard,black,image791
what is the metal object on top of the cabinet close to the oven knobs,can,image760
what is available next to the door onto its left side,mirror,image1015
what is on the chair,pillow,image581
what is on the left side of the picture,blinds,image1442
what is on the left side of the television,"flower, vase",image1122
what is the object found on the left side of the towel rod,glass,image675
what objects are near the shutter window,"clothes, books, bag",image954
what is the round object in front of the blue boxes at the end of the room,globe,image308
what is on the table,candelabra,image1209
what is in the third rack of the shelf,books,image181
what is above the sofa,picture,image1234
what is near the wall,shelves,image152
what are found inside the sink,knife,image891
what is on the wall,"picture, poster_board",image470
what is to the right of the table,baby_chair,image1413
what is the object close to the tissue box,tissue,image708
what is the colour of the book on the table,red,image375
what is on the wall,picture,image1176
what is the object close to the wall below the window,towel_rod,image703
what is in the mugs on the table,ornamental_plant,image606
what is to the left of the bed,cabinet,image1066
what is the object on the floor in front of the wall,refridgerator,image784
what is on the chair in front of the piano,bag,image353
what is to the right of bed,air_conditioner,image219
what color is the swivel chair next to the kitchen roll,red,image40
how many floor mats are there,3,image673
what is the object in front of the wall to the left side of the shelf frame,sofa,image51
what is on the table,towel,image711
what is between the dresser and the desk on the floor,cables,image63
what is the chair type found,chair,image830
what is the white object on the while wall,paper_rack,image10
what objects are found inside the room,"sofa, floor_mat",image872
what is on the bed,"pillow, clothes",image1083
what are the things on the table,"file, photo",image1252
how many windows are there,3,image1324
what is the object close to the whiteboard in the corner of the room,plant,image120
what is on the stool,"decorative_item, picture",image452
what is the largest object,bed,image932
what is on the left side of the pink bag,toy_doll,image399
what is on the right side of the bottle of liquid,oven,image780
what is on the wall,picture,image487
what is stuck on the top of the cabinet,photo,image1114
what is to the left side of the basin,bottle_of_hand_wash_liquid,image775
what is the colour of the clothes,black,image787
how many chairs are there,6,image1227
what is on the window,curtain,image531
what is kept in the shoe rack,shoe,image1010
what is below window,clothes,image539
what is on the right side of the books,cup,image607
what is on the table predominantly,paper,image456
what are the objects on top of the table,"laptop, mouse, books, pen, paper",image83
what is in the vase,ornamental_plant,image799
how many pictures are there on the wall,4,image1318
how many shelves are visible,7,image105
what is on the wall,picture,image883
what colour is the wall,white,image235
what are stuck on the wall,photo,image1407
what color is the dresser,brown,image68
what is in front of of the chair,whiteboard,image41
what is on the right side of the monitor,telephone,image395
what are seen around the table,sofa,image1338
what is the object close to the counter,sink,image674
what is on the left side of the shoe,clothes,image1051
how many pillows are visible in the picture,4,image1339
what is to the left of the sofa,horse_toy,image1425
what are found on the top of the bed,"bed_sheets, pillow",image914
what color is the red chair next to the table,red,image41
what is on the table,"laptop, books, headphones",image54
what is the object on the cabinet,cup,image635
what is to the right of computer stand,speaker,image6
what color is the tape dispenser on the right side of the hole puncher in front of the wall,gray,image12
what is on the right side of the sink,bottle_of_hand_wash_liquid,image567
what is on the left side of the cpu,books,image955
what is near the bed,shelves,image477
what is the largest object,piano,image478
how many drawers are there,4,image782
what is in front of the table,chair,image341
what is in front of the door,table,image1086
what is kept on top of the bed,pillow,image1014
what is stuck on the left side wall,photo,image1364
what are the objects close to the counter,"sink, faucet",image670
what is the object in blue colour,bookshelf,image310
what is at the centre of of the chairs,table,image1333
what is on the left side of the tap,fruit,image891
what is colour of table,blue,image293
what is to the right of the door way,table,image1327
what is right of shelf,television,image254
what are the objects found near the sinks,"bottle_of_listerine, tissue_box, bottle_of_hand_wash_liquid",image671
what is on the right side,television,image1317
what is the colour of the comforter,brown,image959
what is in front of the sofa,table,image242
how many dark blue objects are on the bed,1,image534
what is above the tap,mirror,image680
what is behind the lamp,window,image519
what is hung on the wall in the right side,wall_decoration,image1016
what is below the blue jean,"desk, box",image187
what is present next to lamp,bed,image1022
what is the big object in the left side of the big black dresser,dresser,image530
what is in front of the bed,bench,image942
what is in front of the sofa,table,image1343
what is the largest object,sofa,image1311
what is to the left of the table,shelves,image235
what is the colour of the hair brush,pink,image44
what is beneath the comforter,bed,image1099
what is at the floor,floor_mat,image1151
what is in front of the table,chair,image1061
what is at the right side of the table,garbage_bin,image1068
what is on the right most side if the sink,tissue_roll,image499
what is to the right of table,lamp,image52
how many white drawers are there,2,image1301
what are the objects on the shelf,"books, toy, hair_brush",image69
what is on the centre of blue table,pen_stand,image318
what is the largest object,bed,image1075
what is the largest object,bed,image976
what is in front of the window,chair,image397
what is at the right side of the cabinet,bed,image1187
what us on the left side of the bottle,bag,image1347
what is directly opposite to the tables and chairs,bookshelf,image117
what is to the right of the sofa,table,image1234
what object is present on top of the bed,pillow,image1009
what is stuck on the top of the sink,toothbrush_holder,image653
what are the things on the cabinet,utensils,image1351
what is on the right side of the chair,garbage_bin,image901
what is the object on the bed,pillow,image1116
what is the object on the floor close to the chairs,table,image467
how many computers are there,2,image216
what is the object on the floor in front of the shoes,garbage_bin,image1051
which object the students are sitting,chair,image304
what is on the left side of the tap,cup,image670
how many chairs are there,2,image1216
what is the big white object in the right side,toilet,image730
what is present on top of the bed,pillow,image1046
what is on the table,cup,image604
what is above the cabin,bookshelf,image25
what is the colour of the curtain,purple,image1341
what is the object on the counter in the corner,electric_mixer,image568
what is on the right side of the bed,lamp,image1190
how many chairs are there,1,image754
what is behind the shoes,cables,image1104
what is left of table,bed,image525
what is on the table,"tissue_box, book",image1271
what is on the window,blinds,image932
what color is the towel,white,image727
how many gloves are there,2,image759
what is inside the room,washing_machine,image492
what is inside the container,"sticks, rope",image496
what is the object found to the right,sofa,image984
what is the largest object,bookshelf,image51
what is the object in the right side,photo,image976
what black colour object is found near the plastic box,"stove, stove_burner",image854
what are the objects on the table,"photo, lamp",image1234
what is to the left of sofa in corner,bookrack,image325
what is on the right side,cabinet,image1351
what is in the top right corner,window,image1440
what is at the left side,cabinet,image1380
what is on the table,"kitchen_utensils, towel, juicer",image859
what color is the board,black,image323
what is found opposite to the right side cabinet,door,image1147
what is on the right side of the table,window,image369
what is the colour of the basket,blue,image496
what is in front of the lamp,book,image924
what is surrounding the table,chair,image1355
what is around the table,chair,image757
what is the object below the counter,cabinet,image857
how many plastic bags are there,4,image804
how many chairs are there,10,image1371
how many machines are there,3,image10
what objects are on the table in front,"books, remote_control",image1298
how many chairs are found,2,image1119
what is stuck on the wall,photo,image1367
what is to the right of the sofa,chair,image1210
how many black armchairs are there next to the white wall,1,image51
what is the colour of the iphone,black,image621
what is the colour of microwave,white,image214
what is beneath the piano,piano_bench,image1387
how many drawer knobs are there,7,image682
what is in front of the window,chair,image645
what is the colour of the sofa,white,image166
what is behind the cabinet,window,image1151
what is the object on the floor left of the table,printer,image37
what is on the left side of the tap,bottle_of_liquid,image858
what is on the right side of the drawers,television,image1262
what is stuck on the wall,photo,image1369
what is the object on the counter right side of the sink,towel,image735
how many toys are there in the bed,3,image281
what is the largest blue object in this picture,water_carboy,image417
what is in front of the chair,bag,image934
what is in door,door_knob,image511
what is on the bed,"bottle, pillow, comforter",image1033
how many faucet knobs are there,1,image891
what is on the left side of the refrigerator,poster_board,image843
what is in front of the table,television,image1208
what is on the wall,towel,image502
what is the object found on the floor,floor_mat,image807
what is on the right side of the knife rack,refridgerator,image807
how many pillows are there on the sofa,3,image1318
what is in front of the wall,table,image116
what is above the night lamp,picture,image178
what is in front of the mirror,glass_container,image1389
what is on the hanger,towel,image847
what is on the chair,clothes,image1275
what is on the wall,picture,image1173
how many sofas are,2,image619
what is in front of the chair,stool,image943
how many doors are there in the cupboard beneath the wash basin,2,image49
what is to the left of the towel,shoe,image175
what is above the table,chandelier,image767
what is the object close to the wall,wall_decoration,image58
what is in front of the plant,lamp,image1295
what are the objects close to the wall,wall_decoration,image78
what is to the right of the box,bottle,image313
how many handles are there,5,image1196
what is the colour of the bottle found in the left top,green,image865
what is on top of the shelf near the table,globe,image323
what is behind the table,shelves,image223
what is on the right side of the curtain,"picture, picture",image1431
what is the object on the ground below the counter,dishwasher,image139
what are objects on the shelves,books,image85
what is in front of the clock,stairs,image352
what is found right to the floor mat,toys_rack,image1150
how many beds are there,2,image1019
how many microwave ovens are there,2,image752
what is behind the curtain,bathtub,image667
what is the object on the floor in front of the window,table,image979
what is on the door,knob,image1066
what color is the garbage bin,white,image826
what is to the right side of the floor mat,table,image1182
what is the colour of the bedding,white,image1184
what is the colour of the box on the cupboard,yellow,image1016
what is on the left side of the table,refridgerator,image884
what is in front of sink,towel,image709
what is on the washing machine,bottle_of_liquid,image492
what is stuck to the left side of the towel rod,light_switch,image657
what is in front of the mirror,toilet,image675
what is in front of the coffee table,sofa,image1208
what is on the left side of the reading lamp on the desk,monitor,image603
what is the object on the floor in front of the desk,chair,image585
what is colour of the shirts,blue,image94
what is on the left side of the bed,night_stand,image1076
what is on the window,curtain,image1431
what is hanged in front of the window,curtain,image1072
what is the object found behind the cabinet,window,image984
what is the yellow object on the floor on the right side of the toy box,chair,image447
how many shelves are there in the right stand,3,image101
what is on the left side of the electric kettle,container,image844
what are the objects on the table,"laptop, printer, pen_holder, bottle, paper, cables",image57
by what the window is closed,blinds,image1421
what is stuck on the left side wall,photo,image1373
how many tables are there,2,image85
what is in the shelf,books,image288
what is on the table,"desk_mat, salt_shaker, tissue",image1415
what is in front of the globe,plastic_tray,image312
what is placed on the stove,tea_pot,image754
what object is found near the sink,"vase, bottle",image825
which object is near monkey toy,basket,image323
what is the object in front of the sofa,table,image630
what is behind the table,shelves,image286
what is in front of the sofa,chair,image368
what is the object behind the screen,bathtub,image692
how many chairs are there,4,image745
what is the colour of the show piece on the left of the picture frame,white,image1422
what is to the right of the table,chair,image319
what is the colour of the telephone,black,image27
what is the object that is placed right of the wall and left of the tall cabinet,garbage_bin,image12
what is on the left side of the lamp,clock,image958
what is the colour of the jeans the women wearing,blue,image467
what is behind the chair,window,image1054
what is on the table,book,image1258
what is in front of the stool,towel,image444
what is to the left of the coffee machine,tupperware,image416
what is the colour of the chair in front of the wall,purple,image1419
what is on the ceiling,light,image1254
what is behind the sofa,window,image1284
how many chandeliers are there,1,image783
what is on the right side of the picture,window,image1268
what is the type of the stove,grill,image764
what is on the left side of the kitchen utensils,tissue_roll,image795
what is on the left side of the fan,television,image595
what is found on the floor in the right side,sofa,image1268
what is largest machine,printer,image10
what object is found to the left of the sink,cutting_board,image860
what is the largest object,bed,image986
what is on the left side of the chair,carton,image533
what is on the ping pong table,ping_pong_racket,image641
how many rounded pink colour knobs are found,7,image860
what is the object on the floor in front of the wall,cabinet,image585
what are the colours of the chairs,"red, blue",image1381
what are stuck on the wall,photo,image914
what is on the right of the table,remote_control,image601
what is on the left side of the glass,bathtub,image696
what is stuck on the wall above the cabinet,decoration_item,image1093
what color is the flower on the top pf the fan coil,purple,image50
what is behind the black sofa,fireplace,image1322
what is the chair colour,brown,image754
what is beneath the blinds,plastic_tub,image1103
how many people are there in the framed picture,3,image43
how many toothbrushes are there,2,image653
what is the object behind the chairs in the hangers,clothes,image118
what are stuck on the wall,photo,image1397
what is at the top of the fireplace,photo,image1260
what is found near window,vase,image1224
what is on the speaker,cordless_phone,image1063
what is the object on the table in front of the lamp,file,image1021
what is at the centre of the ceiling lights,fan,image1335
what is left to the table,piano_bench,image1283
what are the colours on the cradle,"red, yellow, blue, green",image1082
what is on the table mat,fruit_basket,image1321
what is the red object close to the wall left of the dustbin,fire_extinguisher,image1
how many monitors are there,4,image111
what is the object close to the wall below the mirror,sink,image664
what is to the right of the bed,bookshelf,image938
what is in the hand of the student,pen,image307
what is in the red mug on the desk,"pen, pencil",image361
what is the object fitted close to the wall,projector_screen,image19
what is in between the toilet and cupboard,tissue_roll,image47
what is on the left side of the refrigerator,oven,image815
how many bananas are there,3,image750
what is the colour of the bathtub,white,image668
what are the objects found in the bookshelf,"books, toy, papers",image1103
what is to the right of the photo,cabinet,image1253
what are in front of the cabinet,chair,image1380
what is the object on the table,flower_pot,image1421
what is the colour of the sofa,blue,image1142
what is left side of the sofa,table,image43
what object is found at the left bottom,floor_mat,image1273
what is on the wall above the clothes,clock,image93
what is beneath the table,picture,image788
what is in front of the mirror,cup,image688
what is on the left side of the whiteboard,stacked_chairs,image5
what is on the right side of the sofa,table,image1245
what is the object close to the wall,spice_rack,image135
what is the mat kept close to the box,yoga_mat,image89
what is in the shelf behind the chair,"books, picture",image1285
what is the object on the shelf,music_stereo,image1001
what color is the counter,"white, brown",image124
what is left of sink,jug,image567
what is found on the left side of the right window,storage_rack,image802
what is kept on top of the storage table right of the paper rack,box_of_paper,image9
what is on the left side of the packaged bottles,table,image1348
what is right of stove,glass_ware,image572
what is the object above the sink,mirror,image648
how many pillows found on the floor,2,image971
what is to the left of the sink,sink_protector,image137
what objects are on the table,"pen, pen_box, books, papers",image955
what is the object on the floor in front of the wall,speaker,image602
what is on the left side of the lamp,cordless_phone,image379
how many knobs does the oven have,4,image145
what is the object in maroon colour hanging near the bed,curtain,image1006
what is behind the newspaper,ornamental_plant,image620
what is on the wall above the switch board,blinds,image957
what color is the lamp shade close to the sofa in front of the curtain,white,image546
what is on the table,"cup, bag",image415
what is the colour of the sofa,red,image1310
what is on the top of the bed on the wall,decoration_item,image1071
what is the largest object,refridgerator,image263
what is the colour of the object behind the faucet,red,image679
what is the object behind the toothpaste,glass,image45
what is hanged in front of the window,curtain,image1087
what are the objects on the bed,"pillow, blanket, bed_sheets",image1058
how many blue legs displayed,5,image747
what is in front of the sofa,fan,image647
what is kept on top of the bed,pillow,image1018
how many chairs are there around the table,2,image1248
what color is the table below the printer but not below the tape dispenser or paper tray,brown,image16
what is on the left side of the curtains,lamp,image939
what is on the left side of the towel,briefcase,image821
what is on the table,"television, box",image964
what is on the left side of the laptop,printer,image393
what is on the floor,toy,image913
how many white pillows are there on the bed,1,image64
what is left of bed,papers,image532
what object is on the right side of the bed,bottle,image1192
what is between the display cabinet and the bookshelf,door_way,image1421
what is the object close to the wall left of the sink,mirror,image509
what is the object on the counter below the cabinet,hot_water_heater,image140
how many drawers are there,4,image412
what is to the left of white board,eggplant,image120
how many beds are there,2,image1186
what is behind the computer,window,image272
what is the colour of the wall,blue,image1149
what is on the left side of the chair,stroller,image398
what is on the television stand,dvd,image163
what is at the right bottom,book,image1239
what is right of toilet,tissue_roll,image508
what is on the rack,chair,image1173
what is at the left of the cabinet,bed,image1123
what color is the shower curtain and drawer knobs,green,image729
what is on the right side of the sofa,lamp,image1231
how many drawer knobs does the desk have,5,image1053
what object is found on the cabinet,lamp,image973
what is on the table,table_runner,image1379
what is left of bed,window,image534
what is the black object in front of the white wall and between the two windows,table,image1279
what is the main object present in the room,shelves,image1005
how many chairs are there,11,image1347
